res_id,name,addr,locality,lat,long,cusines,aggr_rating,rate_text,votes
18585733,Vapour Brewpub and Diner,"7th Floor, Bren Mercury, Kaikondrahalli Junction, Sarjapur Road, Bangalore",Sarjapur Road,12.9141791934,77.6776290312,"North Indian, Continental, Italian",4.4,Very Good,3257
18385443,Koramangala Social,"118, Koramangala Industrial Area, Koramangala 7th Block, Bangalore",Koramangala 7th Block,12.9354405920,77.6142839715,"American, North Indian, Chinese, Asian, Biryani, Beverages",4.6,Excellent,5018
18629607,Sarjapur Social,"22, 57/58/1/2, Saket Callipolis, Doddakannhalli, Ambalipura, Sarjapur Road, Bangalore",Sarjapur Road,12.9100082660,77.6857028157,"American, North Indian, Chinese, European, Asian, South Indian, Fast Food, Biryani",4.5,Excellent,1616
52015,Shanmukha,"93/7, C Narayana Reddy Plaza, Marathahalli , Outer Ring Road",Marathahalli,12.9555402493,77.7004700527,"Biryani, Andhra, North Indian, Chinese",3.9,Good,2086
18684431,BTDT? Been There Done That,"776, 3rd Floor, 100 Feet Road, Indiranagar, Bangalore",Indiranagar,12.9688418650,77.6412254199,"European, Continental, Asian, Finger Food",4.3,Very Good,1202
18579174,Empire Restaurant,"148/1, Bilekhahalli Village, Near IIM Bangalore, Arekere Gate, Bannerghatta Road, Bangalore",Bannerghatta Road,12.8913495161,77.5985363871,"North Indian, Mughlai, South Indian, Chinese",4.2,Very Good,3413
18996772,The Hobbit Cafe,"12, 1st Main Road, Industrial Layout, Koramangala 5th Block, Bangalore",Koramangala 5th Block,12.9351240000,77.6152590000,"Continental, Burger, Pizza, Asian",4.5,Excellent,261
53124,Rajdhani Thali Restaurant,"1st Floor, Salarpuria Landmark, HAL 2nd Stage, 100 Feet Road, Indiranagar, Bangalore",Indiranagar,12.9638857395,77.6417283341,"North Indian, Street Food, Desserts",4.2,Very Good,1190
58725,Imperio Restaurant,"101/9, Apple City, Near HP Petrol Bunk, Hoskote Main Road, Seegehalli, Whitefield, Bangalore",Whitefield,13.0086507000,77.7586771000,"North Indian, Arabian, Mughlai, Biryani, Seafood, Beverages",4.4,Very Good,2472
18359919,Onesta,"Site 15, 15th Cross, 100 Feet Road, 4th Phase, JP Nagar, Bangalore",JP Nagar,12.9059967506,77.5969196856,"Pizza, Italian, Fast Food, Beverages, Desserts",4.3,Very Good,4700
